lemma,absolute_women,relative_women,absolute_men,relative_men,delta
 ,4.0,0.00023730422401518748,3.0,0.00030135610246107485,-6.405187844588738e-05
  ,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
+,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
--,22.0,0.0013051732320835312,9.0,0.0009040683073832245,0.00040110492470030667
-mysterious,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
.O.,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
1,2.0,0.00011865211200759374,0.0,0.0,0.00011865211200759374
1.0,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
100,12.0,0.0007119126720455624,11.0,0.0011049723756906078,-0.0003930597036450454
100-ml-Flakon,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
100ml,2.0,0.00011865211200759374,3.0,0.00030135610246107485,-0.0001827039904534811
105,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
15,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
18-Zentimeter-Stiletto,2.0,0.00011865211200759374,0.0,0.0,0.00011865211200759374
1881,2.0,0.00011865211200759374,5.0,0.0005022601707684581,-0.00038360805876086436
1922,0.0,0.0,3.0,0.00030135610246107485,-0.00030135610246107485
1969,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
1970er,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
1974,2.0,0.00011865211200759374,0.0,0.0,0.00011865211200759374
1976.,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
1979.,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
1981,5.0,0.00029663028001898433,3.0,0.00030135610246107485,-4.725822442090525e-06
1982,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
1983,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
1985,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
1989,5.0,0.00029663028001898433,0.0,0.0,0.00029663028001898433
1994,7.0,0.0004152823920265781,8.0,0.0008036162732295329,-0.00038833388120295483
2,2.0,0.00011865211200759374,0.0,0.0,0.00011865211200759374
2.0,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
20,7.0,0.0004152823920265781,8.0,0.0008036162732295329,-0.00038833388120295483
2005,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
2015,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
2018,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
2020,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
2021,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
2023,0.0,0.0,2.0,0.00020090406830738323,-0.00020090406830738323
25,2.0,0.00011865211200759374,10.0,0.0010045203415369162,-0.0008858682295293225
3.,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
30,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
30-ml-Flakon,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
4.,2.0,0.00011865211200759374,0.0,0.0,0.00011865211200759374
40-ml-Flakon,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
4711,9.0,0.0005339345040341718,0.0,0.0,0.0005339345040341718
4mal,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
5,2.0,0.00011865211200759374,0.0,0.0,0.00011865211200759374
50,0.0,0.0,7.0,0.0007031642390758413,-0.0007031642390758413
5th,2.0,0.00011865211200759374,0.0,0.0,0.00011865211200759374
66,0.0,0.0,4.0,0.00040180813661476645,-0.00040180813661476645
7,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
78,3.0,0.0001779781680113906,0.0,0.0,0.0001779781680113906
80er,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
98,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
ADVENTUROUS,0.0,0.0,4.0,0.00040180813661476645,-0.00040180813661476645
AIGNER,5.0,0.00029663028001898433,2.0,0.00020090406830738323,9.57262117116011e-05
ALIEN,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
ALL,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
AND,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
AVATAR,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
AZZARO,0.0,0.0,2.0,0.00020090406830738323,-0.00020090406830738323
Aan,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Abbild,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Abend,14.0,0.0008305647840531562,6.0,0.0006027122049221497,0.00022785257913100646
Abend-Event,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Abendduftfür,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Abenddüft,1.0,5.932605600379687e-05,1.0,0.00010045203415369161,-4.1125978149894744e-05
Abendessen,0.0,0.0,2.0,0.00020090406830738323,-0.00020090406830738323
