lemma,absolute_women,relative_women,absolute_men,relative_men,delta
	 ,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
"",33.0,0.00042797115733776003,5.0,0.00017001020061203673,0.0002579609567257233
 ,320.0,0.004150023343881309,117.0,0.0039782386943216595,0.00017178464955964947
  ,39.0,0.0005057840950355346,24.0,0.0008160489629377763,-0.0003102648679022417
   ,70.0,0.0009078176064740365,17.0,0.0005780346820809249,0.00032978292439311157
    ,759.0,0.00984333661876848,265.0,0.009010540632437947,0.0008327959863305336
     ,2.0,2.5937645899258183e-05,1.0,3.400204012240735e-05,-8.064394223149163e-06
       ,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
        ,261.0,0.003384862789853193,83.0,0.0028221693301598095,0.0005626934596933836
            ,137.0,0.0017767287440991855,51.0,0.0017341040462427746,4.26246978564109e-05
               ,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
                ,9.0,0.00011671940654666182,2.0,6.80040802448147e-05,4.8715326301847125e-05
                    ,7.0,9.078176064740364e-05,2.0,6.80040802448147e-05,2.277768040258894e-05
                        ,203.0,0.0026326710587747056,60.0,0.002040122407344441,0.0005925486514302648
                                                                                                                                                                                                                                                                                                                                                                                                              ,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
"""""this",7.0,9.078176064740364e-05,1.0,3.400204012240735e-05,5.677972052499629e-05
"""i",0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
"""mandarine",1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
"""rosa",1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
"""—estée",2.0,2.5937645899258183e-05,0.0,0.0,2.5937645899258183e-05
"""—romano",1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
+,45.0,0.0005835970327333092,6.0,0.00020401224073444407,0.0003795847919988651
+70,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
",parfum",1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
-after,1.0,1.2968822949629092e-05,1.0,3.400204012240735e-05,-2.1033217172778255e-05
-apply,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
-awaken,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
-bergamote,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
-butyl,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
-butylene,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
-do,0.0,0.0,3.0,0.00010200612036722203,-0.00010200612036722203
-fragrance,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
-if,1.0,1.2968822949629092e-05,1.0,3.400204012240735e-05,-2.1033217172778255e-05
-replace,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
-top,1.0,1.2968822949629092e-05,1.0,3.400204012240735e-05,-2.1033217172778255e-05
".""""this",1.0,1.2968822949629092e-05,1.0,3.400204012240735e-05,-2.1033217172778255e-05
".),parfum",1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
".,parfum",3.0,3.8906468848887275e-05,0.0,0.0,3.8906468848887275e-05
.this,1.0,1.2968822949629092e-05,1.0,3.400204012240735e-05,-2.1033217172778255e-05
/jasmine,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
/this,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
0.33,4.0,5.187529179851637e-05,0.0,0.0,5.187529179851637e-05
000,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
000\tof,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
001,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
01,5.0,6.484411474814545e-05,2.0,6.80040802448147e-05,-3.159965496669242e-06
01.04.22)i̇çerik,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
02,1.0,1.2968822949629092e-05,1.0,3.400204012240735e-05,-2.1033217172778255e-05
03,1.0,1.2968822949629092e-05,3.0,0.00010200612036722203,-8.903729741759295e-05
04,2.0,2.5937645899258183e-05,5.0,0.00017001020061203673,-0.00014407255471277856
05,3.0,3.8906468848887275e-05,0.0,0.0,3.8906468848887275e-05
05this,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
06,6.0,7.781293769777455e-05,1.0,3.400204012240735e-05,4.3810897575367203e-05
06785,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
06786,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
07,1.0,1.2968822949629092e-05,1.0,3.400204012240735e-05,-2.1033217172778255e-05
07779,0.0,0.0,4.0,0.0001360081604896294,-0.0001360081604896294
08,1.0,1.2968822949629092e-05,4.0,0.0001360081604896294,-0.0001230393375400003
08.04.22,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
08031,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
08300,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
08877,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
09,2.0,2.5937645899258183e-05,3.0,0.00010200612036722203,-7.606847446796385e-05
09238,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
09239,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
09247,2.0,2.5937645899258183e-05,0.0,0.0,2.5937645899258183e-05
09497,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
09548,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
09591,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
09640,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
1,67.0,0.0008689111376251491,51.0,0.0017341040462427746,-0.0008651929086176255
"1)""""this",2.0,2.5937645899258183e-05,0.0,0.0,2.5937645899258183e-05
1).this,2.0,2.5937645899258183e-05,4.0,0.0001360081604896294,-0.0001100705145903712
1)90,4.0,5.187529179851637e-05,0.0,0.0,5.187529179851637e-05
1)for,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
1)in,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
1)la,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
1)this,6.0,7.781293769777455e-05,7.0,0.0002380142808568514,-0.00016020134315907684
"1,2",1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
1.5,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
1.5ml,10.0,0.0001296882294962909,0.0,0.0,0.0001296882294962909
1.6,2.0,2.5937645899258183e-05,0.0,0.0,2.5937645899258183e-05
1.7,3.0,3.8906468848887275e-05,0.0,0.0,3.8906468848887275e-05
1/,3.0,3.8906468848887275e-05,0.0,0.0,3.8906468848887275e-05
10,13.0,0.0001685946983451782,10.0,0.00034002040122407346,-0.00017142570287889526
"10)""""this",1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
10)#12081,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
"10),ci",1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
"10).""""this",0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
10).this,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
10)this,5.0,6.484411474814545e-05,4.0,0.0001360081604896294,-7.116404574148394e-05
100,19.0,0.00024640763604295276,11.0,0.0003740224413464808,-0.00012761480530352803
100ml,13.0,0.0001685946983451782,6.0,0.00020401224073444407,-3.541754238926587e-05
10167,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
104,2.0,2.5937645899258183e-05,0.0,0.0,2.5937645899258183e-05
10711,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
10943,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
10950,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
10ml,9.0,0.00011671940654666182,4.0,0.0001360081604896294,-1.928875394296757e-05
10mlarizona,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
11,5.0,6.484411474814545e-05,3.0,0.00010200612036722203,-3.716200561907658e-05
