id,url,gender,description,price_per_ml
p10011349,https://www.sephora.co.uk/p/marc-jacobs-perfect-eau-de-parfum,women,"The playful and unexpected women's perfume, Perfect Marc Jacobs Eau de Parfum for her, is a comforting floral scent that celebrates optimism, self-acceptance and originality.. . The perfume was inspired by Marc Jacobs’ mantra: “I am perfect as I am,” which is symbolised by a tattoo of the word “perfect” on his wrist. Like his tattoo, Perfect Marc Jacobs is about embracing and expressing one’s true self.. . Modern, bright, and feminine, Perfect is an unconventional yet harmonious clash of fresh floral and calming smooth notes. The fragrance opens with juicy notes of rhubarb and bright daffodil that reveal a comforting heart of almond milk. The fragrance finishes with a soft dry down of cedarwood and cashmeran.. . Perfect is nothing you would expect and everything it needs to be. #MJPerfect #PerfectAsIAm Perfect as a gift for a friend or daughter to show them how much you care for them or even as a treat to yourself.. . . . . . .     .             Ingredients. ALCOHOL DENAT., PARFUM/FRAGRANCE, AQUA/WATER/EAU, ETHYLHEXYL METHOXYCINNAMATE, BUTYL METHOXYDIBENZOYLMETHANE, LINALOOL, OCTOCRYLENE, ALPHA-ISOMETHYL IONONE, HYDROXYCITRONELLAL, CITRONELLOL, LIMONENE, HEXYL CINNAMAL, COUMARIN, BENZYL BENZOATE, ALCOHOL, TRIS(TETRAMETHYLHYDROXYPIPERIDINOL) CITRATE, BENZYL ALCOHOL, BHT, D&C RED NO. 33 (CI 17200), FD&C YELLOW NO. 5 (CI 19140), FD&C RED NO. 4 (CI 14700), EXT. D&C VIOLET NO. 2 (CI 60730).This list of ingredients may be subject to change, please consult the packaging of the product purchased.. . . . . . . . Shop Marc Jacobs",2.2
p1000211524,https://www.sephora.co.uk/p/merit-beauty-retrospect-l-extrait-de-parfum,women,"Highlights.                         . . . . . . .     .                         . . . This long-lasting, clean fragrance opens with soft, bright notes of bergamot and pear, gently unfolding into a floral heart of jasmine, rose, and violet. It's balanced by a base of vanilla, musk, and moss, giving it a warm, second-skin finish that wears for up to over 12 hours.. Ingredients. Alcohol Denat., Fragrance (Parfum), Water (Aqua/Eau), Butylmethoxydibenzoylmethane, Alpha-Isomethyl Ionone, Benzyl Benzoate, Benzyl Salicylate, Cinnamal, Citral, Coumarin, Hexyl Cinnamal, Linalool, Hexadecanolactone, Tetramethyl Acetyloctahydronaphthalenes, Trimethylbenzenepropanol, Jasmine Oil/Extract, Rose Ketones. This list of ingredients may be subject to change, please consult the packaging of the product purchased.. . . Notes.         TopBergamot, Pear, Ambrette, AldehydesHeartJasmine, Rose, Rosemary, Violet, OrrisBottomVanilla, Musk, Moss.     . . . . . . . Shop MERIT BEAUTY",1.97
p1000210636,https://www.sephora.co.uk/p/fenty-hair-hair-body-fragrance-mist,women,"Highlights.                         . . . . . . .     .                         . . . The head-turning power of a good hair day, bottled in an irresistible scent.Highly requested, we bottled lavish notes of amber, lemon and sparkling yuzu that instantly greet you while lily of the valley, freesia and coconut—the heart of the scent—gradually wrap you in luxury. And it lingers with an indulgent, creamy base of musk, vanilla, sandalwood and vetiver that keeps 'em coming back. Use it as the luxurious finishing touch to your routine and take the vibe of Fenty Hair wherever you go.. .     Directions. Use only as directed.. . Composition.         Mixed materials.     . Ingredients. INGREDIENTS: ALCOHOL DENAT., AQUA/WATER/EAU, PARFUM/FRAGRANCE, ALPHA-ISOMETHYL IONONE, AMYL SALICYLATE, BENZALDEHYDE, BENZYL BENZOATE , BENZYL SALICYLATE, BETA-CARYOPHYLLENE, CAMPHOR, CANANGA ODORATA OIL/EXTRACT, CARVONE, CITRAL, CITRUS AURANTIUM PEEL OIL, CITRUS LIMON PEEL OIL, CITRONELLOL, EUGENOL, FARNESOL, GERANIOL, GERANYL ACETATE, HEXADECANOLACTONE, HEXYL CINNAMAL, HYDROXYCITRONELLAL, ISOEUGENYL ACETATE, ISOEUGENOL , LIMONENE , LINALOOL , LINALYL ACETATE, LAVANDULA OIL/EXTRACT, POGOSTEMON CABLIN OIL, PINENE, ROSE KETONES, TERPINEOL, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES (OTNE), TRIMETHYLBENZENEPROPANOL, VANILLIN. AThis list of ingredients may be subject to change, please consult the packaging of the product purchased.. . . . . . . . Shop Fenty Hair",0.29
p1000210507,https://www.sephora.co.uk/p/charlotte-tilbury-star-confidence-fragrance-collection-of-emotions,women,"\• FEEL LIKE A STAR!• SPRAY ME FOR… STAR CONFIDENCE!• THE FRESHNESS OF THE JUICY BLACKCURRANT OIL, COMBINED WITH THE SOPHISTICATED YETINTOXICATING, ANIMALISTIC, PURE JASMINE SAMBAC, WITH THE WARM ADDICTION OF NATURALPATCHOULI OIL AND THE RARE, SACRED, CARNAL APHRODISIAC DAVANA OIL LEAVES YOU ALWAYSWANTING MORE!• 82% AGREE STAR CONFIDENCE ENHANCES FEELINGS OF CONFIDENCE*• 89% AGREE STAR CONFIDENCE UNLEASHED THE LIFE FORCE WITHIN THEM*• BOOST YOUR CHOSEN MOOD WITH EMOTION-BOOSTING MOLECULES• IT GLIDES OVER YOUR SKIN, LEAVING AN EMPOWERING SCENT TRAIL IN ITS PATH THAT LASTS UP TO 18HOURS!**Tested on 110 people over 1 week. .     Directions. Spray onto pulse points and let it settle. . Test results.         Magic Claims:  84% agree the fragrance enhances feelings of seduction 80% agree they felt sexy  * Tested on 104 people over 1 week.     . . Composition.         This warm floral scent opens with the freshness of juicy blackcurrant absolute, blending into the sophistication of jasmine sambac absolute and dewy jasmine accord, lifted by the sensual warmth of davana oil. The base reveals the addictive depth of natural patchouli oil and the vibrant confidence of oakmoss absolute, all infused with emotion-boosting molecules. Inspired by the flame of Star Confidence—symbolising your inner fire supported by two hands—this fragrance was created to ignite empowered self-belief and awaken your highest frequency self. In numerology, XXII (22) embodies charisma, drive, and power, qualities captured in every spray..     . Ingredients. ALCOHOL DENAT., PARFUM (FRAGRANCE), AQUA/WATER/EAU, BUTYL METHOXYDIBENZOYLMETHANE, ALCOHOL, TRIS(TETRAMETHYLHYDROXYPIPERIDINOL) CITRATE, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, HEXAMETHYLINDANOPYRAN, BENZYL SALICYLATE, LINALOOL, VANILLIN, TRIMETHYLBENZENEPROPANOL, HEXYL CINNAMAL, ALPHA-ISOMETHYL IONONE, LINALYL ACETATE, HYDROXYCITRONELLAL, GERANYL ACETATE, CITRONELLOL, JUNIPERUS VIRGINIANA OIL, POGOSTEMON CABLIN OIL, GERANIOL, DIMETHYL PHENETHYL ACETATE, EVERNIA PRUNASTRI (OAKMOSS) EXTRACT, PINENE, ROSE KETONES, CINNAMYL ALCOHOL, ISOEUGENYL ACETATE, LIMONENE, HEXADECANOLACTONE, BETA-CARYOPHYLLENE, TRIMETHYLCYCLOPENTENYL METHYLISOPENTENOL, ISOEUGENOL, BENZALDEHYDE, TERPINOLENE, BENZYL ALCOHOL.This list of ingredients may be subject to change, please consult the packaging of the product purchased.. . . Notes.         MAGIC FRAGRANCE NOTES TOP: JUICY BLACKCURRANT ABSOLUTE HEART: SOPHISTICATED JASMIN SAMBAC ABSOLUTE, DEWY JASMINE ACCORD + SENSUAL DAVANA OIL BASE: ADDICTIVE NATURAL PATCHOULI OIL AND VIBRANT, CONFIDENT OAKMOSS ABSOLUTE.     . . . . . . . Shop Charlotte Tilbury",1.6
p10023817,https://www.sephora.co.uk/p/mugler-alien-eau-de-parfum-P10023817,women,"Embodying a Solar Goddess, radiant and sensual, Alien by MUGLER diffuses peace and magic in its scent, thanks to its talisman fragrance. Alien is a talisman capable of revealing the light and creative force of every woman. It illuminates the women who wears it with an extraordinary halo. The rich and sensual notes of the Alien perfume reflect the feminine force: a powerful floral scent of jasmine linked to woody and amber notes.Alien is powerful, radiant and gripping. Its enigmatic scent reveals a spectacular femininity, a universal call to be extraordinary. A woody and solar fragrance, Alien Eau de Parfum is a radiant talisman with enveloping and mysterious warmth.Refill your bottle anywhere: in stores with the MUGLER Fountain or at home with the unique Refill Bottles.. .     Directions. Spray directly onto the pulse points. Ingredients. 2042051 12 - INGREDIENTS:  ALCOHOL • PARFUM / FRAGRANCE • AQUA / WATER / EAU • BENZYL SALICYLATE • BENZYL ALCOHOL • ETHYLHEXYL SALICYLATE • BUTYL METHOXYDIBENZOYLMETHANE • COUMARIN • GERANIOL • METHYL ANTHRANILATE • ALPHA-ISOMETHYL IONONE • CITRONELLOL • CITRAL • BENZYL BENZOATE • CI 60730 / EXT. VIOLET 2 • CI 17200 / RED 33 (F.I.L. N282856/1).This list of ingredients may be subject to change, please consult the packaging of the product purchased.. . . Notes.         Top note: Jasmine Sambac AccordHeart note: Cashmere woodBase note: White Amber Accord. . . . . . . . Shop MUGLER",2.6
p10010558,https://www.sephora.co.uk/p/yves-saint-laurent-libre-intense-eau-de-parfum,women,"LIBRE the signature fragrance, now bolder. The LIBRE signature, bolder. Twisted with a smouldering orchid accord. Starring Dua Lipa, Global Fragrance Ambassador for YSL Beauty.. . INSPIRATION LIBRE, the French word for ‘free', pays tribute to YSL's enduring spirit of empowering people to live their lives as authentically and unapologetically as possible. Since 1961 authenticity has dressed the YSL woman: fierce, bold, unapologetic. A woman powerful like ocean waves crashing against the shore. With fire burning in her soul, like flames flickering in the breeze. Bestowing strength, like an eagle soaring through the sky.. . To embody LIBRE is British singer song-writer Dua Lipa. For the untamed, the ones who dare to turn up the heat and embrace their power to the full, YSL Beauty introduces new LIBRE Eau de Parfum Intense. A full-bodied grand floral fragrance boasting a burning-hot character and deep sensuality. SCENT The new Eau de Parfum Intense brings a fierce sensuality to the LIBRE floral signature.. . The structure of the original LIBRE composition celebrates the signature tension present in all YSL fragrances: tension between aromatic lavender from France and sensual orange blossom absolute from Morocco. The Eau de Parfum Intense is emboldened by a melting floral heart where a flamboyant orchid accord blazes with sensuality. The fragrance reveals creamy and smoky facets before unveiling a woody-ambery base which fuses smooth vanilla and vetiver for depth and intensity. Crafted by master perfumers Anne Flipo and Carlos Benaïm.. . Top notes: tangerine, bergamot, lavender.. Heart notes: jasmine sambac, orange blossom, orchid accord.. Base notes: tonka bean, vanilla, amber gris, vetiver.. . BOTTLE The signature LIBRE bottle is designed to reflect the powerful character of the fragrance. Just like Yves Saint Laurent designed the first tuxedo for women. More intense than ever, the bottle is set alight by the burning colour of the juice, a shade between fire and gold. Encased in the sharp bottle silhouette, the fragrance is embellished by the the oversized YSL logo in gold-tone hardware. COLLECTION Feel free to love, and show your love. Indulge yourself with LIBRE and share it with those most special to you.. . A luxurious gift, suitable for all of life's most special occasions. LIBRE Original Eau de Parfum. The original grand floral scent. A unique blend of sensual orange blossom and cool lavender. Bold and captivating. LIBRE Eau de Parfum Intense. A richer interpretation of the Libre floral signature, enriched with a smouldering orchid accord. Rich and full-bodied.. .     Directions. For light intensity: spray in a cloud around your head and shoulders, let the fragrance fall gently around you.. . For medium intensity: spray in a Y-shape across your body, beginning at one shoulder and finishing at the other. If you are wearing jewellery it is a great alternative to spraying your neck.. . For added intensity: apply perfume directly to your pulse points and / or hot spots (wrist, inner elbow and lower neck). Here the heat of your body will allow the fragrance to reveal its full trail. Include shoulders and back to intensify your perfume trail.. . OTHER APPLICATION TIPS. Hair & hair accessories: they can be fragranced for a gentle fragrance trail. For just a halo of scent, spray your hair brush only.. . Garments: perfume the inside of your jacket and coats for a medium trail. For added intensity of fragrance go further and perfume your blouse / jumper.. . Scarves: for lighter application, spray a scarf and wrap the scarf around your neck to transfer fragrance onto yourself gently.. . Bathing: spritz perfume on warm bath water for an indulgent experience.. Ingredients. 875191 06 - INGREDIENTS:  ALCOHOL • PARFUM / FRAGRANCE • AQUA / WATER / EAU • LINALOOL • CITRONELLOL • BENZYL SALICYLATE • LIMONENE • BUTYL METHOXYDIBENZOYLMETHANE • METHYL ANTHRANILATE • BENZYL ALCOHOL • COUMARIN • HYDROXYCITRONELLAL • GERANIOL • CITRAL • ISOEUGENOL • FARNESOL • ALPHA-ISOMETHYL IONONE • CI 15985 / YELLOW 6 • CI 60730 / EXT. VIOLET 2 • CI 19140 / YELLOW 5 • CI 14700 / RED 4 (F.I.L. C265555/1).Les listes d'ingrédients entrant dans la composition des produits de notre marque sont régulièrement mises à jour. Avant d'utiliser un produit de notre marque, vous êtes invités à lire la liste d'ingrédients figurant sur son emballage afin de vous assurer que les ingrédients sont adaptés à votre utilisation personnelleThis list of ingredients may be subject to change, please consult the packaging of the product purchased.. . . Notes.         Top notes: tangerine, bergamot, lavenderHeart notes: jasmine sambac, orange blossom, orchid accordBase notes: tonka bean, vanilla, amber gris, vetiver.     . . . . . . . Shop Yves Saint Laurent",2.73
p1000208048,https://www.sephora.co.uk/p/fugazzi-fragrances-magic-mango-eau-de-parfum-P1000208048,women,"Exclusively available at SEPHORA.Magic Mango takes the traditional mango fragrance and elevates it, preserving the juicy, mouth-watering, and slightly tropical vibrant top note of the mango.With the addition of intense saffron and the deep resonance of akigalawood, this perfume not only lasts all day but also fills any space with its vibrant, assertive aura. While we twist the traditional scent to bring out other facets, the core remains fruity and juicy, well wrapped and presented. It's the go-to choice for anyone eager to make a bold, standout impression with their perfume.. . . . . . .     .             Ingredients. ALCOHOL DENAT., PARFUM, AQUA, TETRAMETHYLACETYLOCTAHYDRONAPHTHALENES (OTNE), LIMONENE, POGOSTEMON CABLIN OIL, CITRUS AURANTIUM PEEL OIL, CITRUS LIMON PEEL OIL, LINALOOL, PINENE, BETA-CARYOPHYLLENE, EUGENOL, CITRAL, TERPINEOL, VANILLIN, GERANIOL, CINNAMOMUM CASSIA LEAF OIL, CINNAMAL, GERANYL ACETATE, COUMARIN, ALPHA-TERPINENE, ROSE KETONES, ETHYLHEXYL METHOXYCINNAMATE, BUTYL METHOXYDIBENZOYLMETHANE, ETHYLHEXYL SALICYLATE.This list of ingredients may be subject to change, please consult the packaging of the product purchased.. . . Notes.         Top notes: Mango - Nutmeg - CloveHeart notes: Leather - Saffron - Moss - AmberBase notes: Akigalawood - Patchouli - Vetiver - Cypriol.     . . . . . . . Shop Fugazzi",1.9
p1000207339,https://www.sephora.co.uk/p/jo-malone-london-frangipani-flower-cologne,women,"Frangipani blooms across the blissful beaches of Bali; exotic and radiant with white pinwheel petals and bright yellow centres. A fresh twist of lemon opens this solar floral, unfolding to reveal notes of luminous frangipani and ylang ylang on a base of creamy sandalwood accord. In a limited-edition design.. .     Directions. Spritz generously onto your wrists, neck and pulse points – your body heat will help to diffuse the fragrance as the day goes on. Wear alone or layer with another Cologne or your favourite Bath & Body products.. Ingredients. Ingredients: Alcohol Denat., Fragrance (Parfum), Water\\Aqua\\Eau, Benzyl Salicylate, Hexyl Cinnamal, Limonene, Farnesol, Geraniol, Linalool, Citronellol, Benzyl Alcohol, Citral, Cinnamyl Alcohol, Hydroxycitronellal, Benzyl Benzoate, Benzyl Cinnamate, Tris(Tetramethylhydroxypiperidinol) Citrate, Bht This list of ingredients may be subject to change, please consult the packaging of the product purchased.. . . Notes.         Jasmine Petals, Frangipani, Sandalwood.     . . . . . . . Shop Jo Malone London",1.24
p1000210627,https://www.sephora.co.uk/p/billie-eilish-eilish-eau-de-parfum,women,"Eilish EDP. Sexy. Confident. Cool.. . Scent. . Eilish is a captivating Amber Gourmand featuring notes of sugared petals, creamy vanilla and warm musks leaving a lasting impression that is warm sensual and powerfully you.. . Fragrance Family: Amber Gourmand. Top Notes: Sugared petals, mandarin, warm berries. Middle Notes: Creamy vanilla, soft spices, cocoa. Base Notes: Sleek woods, warm musks, tonka beans. . . . . . .     .             Ingredients. Alcohol Denat., Fragrance (Parfum), Water (Aqua/Eau), Citric Acid, Ethlyhexyl Methoxycinnamate, Butyl Methoxydibenzoylmethane, Ethylhexyl Salicaylate, Propylene Glycol, Linalool, Hexyl Cinnamal, Alpha-Isomethyl Ionone, Benzyl Salicylate, Benzyl Benzoate, Limonene, Yellow 5 (CI 19140), Red 4 (CI 14700), Blue 1 (CI 42090).. . This list of ingredients may be subject to change, please consult the packaging of the product purchased..             . . Notes.         Fragrance Family: Amber GourmandTop Notes: Sugared petals, mandarin, warm berriesMiddle Notes: Creamy vanilla, soft spices, cocoaBase Notes: Sleek woods, warm musks, tonka beans.     . . . . . . . Shop Billie Eilish",0.56
p1000210626,https://www.sephora.co.uk/p/billie-eilish-eilish-no-2-eau-de-parfum,women,"Eilish No. 2 EDP. Dark. Woody. Alluring.. . Scent. . Eilish No. 2 is an alluring Woody Floral fragrance featuring notes of apple blossom, wild wet poppy flowers and palo santo.. . Fragrance Family: Woody Floral Fruity. Top Notes: Italian bergamot, apple blossom. Middle Notes: Papyrus, black pepper, wild poppy flower. Base Notes: Palo santo, ebony, skin musk. Bottle. . The beautiful Eilish bottle is now articulated in a dark, metallic grey slate. The bottle is a fusion of angles and soft curves, inspired by elements from classic sculptures and the human form. Once the cap is removed, it unveils a linear frosted glass that beautifully juxtaposes the curved bottle and reveals the liquid inside.. . . . . . .     .             Ingredients. Alcohol Denat., Fragrance (Parfum), Water (Aqua/Eau), Limonene, Alpha-Isomethyl Ionone, Linalool, Citral, Isoeugenol, Geraniol, Citronellol, Benzyl CinnamateThis list of ingredients may be subject to change, please consult the packaging of the product purchased.. . . Notes.         Fragrance Family: Woody Floral FruityTop Notes: Italian bergamot, apple blossomMiddle Notes: Papyrus, black pepper, wild poppy flowerBase Notes: Palo santo, ebony, skin musk.     . . . . . . . Shop Billie Eilish",0.45
