,name,id1,id2,price_per_L,gender,page,url,description,other_text
0,"Fuel for Life Femme, EdP 50 ml",124563,3605520385568,1299.8,women,0,https://www.rossmann.de/de/pflege-und-duft-diesel-fuel-for-life-femme-edp-50-ml/p/3605520385568,"Fuel For Life Femme von Diesel ist die Weiterentwicklung eines klassischen Chypré-Duftes. Die Noten von Mandarine, rosa Pfeffer, Jasmin, schwarzer Johannisbeere, Moschus und Patschuli vereinen sich zu einem frisch-intensiven, moosig-holzigen Duft. Fuel For Life Femme ist ein sinnliches und romantisches Parfum voller Vitalität. Die kraftvolle Duftkomposition verbreitet auch in der kalten Jahreszeit mit ihren Zitrusnoten Wärme und pulsierende Sinnlichkeit. Ebenso spielt der Flakon gekonnt mit Widersprüchen, wenn das schlichte Design mit zarter Spitze überzogen wird. Der perfekte Duft für Frauen, die bei aller Leichtigkeit auch gerne die Führung übernehmen und gleich alle Anwesenden auf geheimnisvoll verführerische Art in ihren Bann ziehen möchten. Fuel For Life Femme von Diesel steht für die ambivalente Weiblichkeit. ","<ul><li><b>Zielgruppe: </b>für Sie</li><li><b>Kopfnote: </b>Mandarine, Pfeffer</li><li><b>Basisnote: </b>Moschus, Patchouli</li><li><b>Duftfamilie: </b>blumig</li></ul>"
1,"Eau de Iceberg Woman, EdT 100 ml",137257,8057714450098,249.9,women,0,https://www.rossmann.de/de/pflege-und-duft-iceberg-eau-de-iceberg-woman-edt-100-ml/p/8057714450098,"Bereits seit 1974 eine stilvolle Sportswear-Couture Marke: Erleben Sie sportliche Eleganz und stilvolle Lässigkeit mit der Parfüm- & Modemarke ICEBERG!Die hochwertigen Parfums von ICEBERG bilden einen perfekten Mix aus klassisch, sporty sowie modern – für unwiderstehliche Frische. Perfekt für aktive Männer und Frauen, die stets auf der Suche nach neuen Herausforderungen sind: Tauchen Sie in die einzigartige Welt der luxuriösen, italienischen Marke ein und entfalten Sie Ihre individuelle Freiheit mit den aromatischen Duftnoten von ICEBERG Parfum! Bringen Sie einen Hauch von Luxus in Ihren Alltag - mit dem Eau de ICEBERG Woman Parfum: Das sinnliche Damenparfum bildet eine fruchtig-frische Komposition, die Ihre Sinne belebt und verzaubert. Die Kopfnoten des Duftes aus saftiger Ananas, Blutorange und Birne verbreiten sofort gute Laune und fangen das sinnliche Lebensgefühl des Sommers ein. In der Herznote vereinen sich elegante, weiße Blüten mit Feige zu einem verführerischen Bouquet, das die Weiblichkeit und Eleganz seiner Trägerin unterstreicht.Der minimalistische Flakon von Eau de ICEBERG spiegelt die Zeitlosigkeit des Duftes selbst wider. Erleben auch Sie mit der frisch-fruchtigen Duftnote von Eau de ICEBERG Woman einen warmen Sommertag, an dem eine sanfte Brise Ihre Geruchssinne mit einer unwiderstehlichen, lebendigen Duftkomposition umschmeichelt. ","<ul><li><b>Zielgruppe</b>: für Sie</li><li><b>Kopfnote</b>: Birne, Blutorange, Ananas</li><li><b>Herznote</b>: Jasmin, Feige, Freesie</li><li><b>Basisnote</b>: Vanille, Moschus, Hölzerne Noten</li><li><b>Duftfamilie</b>: floral, fruchtig, frisch</li></ul>"
2,"Cara Mia Ti Amo, EdP 50 ml",094058,4013670000245,299.8,women,0,https://www.rossmann.de/de/pflege-und-duft-etienne-aigner-cara-mia-ti-amo-edp-50-ml/p/4013670000245,"Ein frischer, blumiger Duft mit einem knackig-fruchtigen Auftakt aus Mandarine, Aprikose und pinkem Pfeffer. Im Herzen entfaltet sich ein Bouquet aus pinken Pfingstrosen und Rosen, das für echte Frühlingsgefühle sorgt - zu jeder Jahreszeit! Sinnlicher Moschus, Vetivergras sowie ein Hauch von Eichenmoos runden den verführerischen Duft von Etienne Aigner in der Basis perfekt ab. ","<ul><li><b>Zielgruppe:</b> für Sie</li><li><b>Kopfnote:</b> Pfeffer, Bergamotte, Mandarinenorange</li><li><b>Herznote:</b> Rose, Pfingstrose</li><li><b>Basisnote:</b> Vetiver, Moschus, Eichenmoos</li><li><b>Duftfamilie: </b>holzig, blumig</li></ul>"
3,"Be Delicious Orchard Street,  EdP 30ml",147067,0085715950437,816.33,women,0,https://www.rossmann.de/de/pflege-und-duft-dkny-be-delicious-orchard-street-edp-30ml/p/0085715950437,"Erlebe mit Be Delicious Orchard St. die Energie der Lower East Side von New York City. Mit seiner köstlichen pinken Frische fesselt Orchard Street deine Sinne. Pink Lady Apfel und pinke Grapefruit versprühen fruchtige Lebensfreude, während Rosa Pfeffer für einen unvergleichlichen Mix aus Süße und Schärfe sorgt. Üppiger Jasmin und Iris sorgen für femininen Charme, während schwarze Himbeere und Granatapfel die Leichtigkeit des Dufts unterstreichen. Cremiges Zedernholz, umhüllt von Leder, fängt den dynamischen Esprit der Stadt ein und verströmt eine glanzvolle, New Yorker Atmosphäre. Erlebe die pulsierende Anziehungskraft, genieße die unbeschwerte Lebensfreude und mache jeden Moment unvergesslich! ","<ul><li><b>Zielgruppe</b>: für Sie</li><li><b>Kopfnote</b>: Pink-Lady Apfel, pinke Grapefruit, schwarze Johannisbeere, rosa Pfeffer</li><li><b>Herznote</b>: Jasmin, Iris, schwarze Himbeere, Granatapfel</li><li><b>Basisnote</b>: Leder, Zedernholz, Amberholz, Edenolid</li><li><b>Duftfamilie</b>: fruchtig, orientalisch</li></ul>"
4,"Be Delicious, EdP 30 ml",938037,0763511009800,816.33,women,0,https://www.rossmann.de/de/pflege-und-duft-dkny-be-delicious-edp-30-ml/p/0763511009800,"DKNY Be Delicious ist ein energiegeladenes Eau de Parfum, dass durch den Lifestyle New Yorks inspiriert wurde. Die Kombination aus verschiedenen Ingredienzen sorgt für Gefühle der Unschuld, Unwiderstehlichkeit und ist geheimnisvoll. ","<ul><li><b>Zielgruppe</b>: für Sie</li><li><b>Kopfnote</b>: Apfel, Grapefruit, Gurke, Magnolie</li><li><b>Herznote</b>: Tuberose, Veilchen, Rose, Maiglöckchen</li><li><b>Basisnote</b>: hölzerne Töne, Sandelholz, weißer Ambra</li><li><b>Duftfamilien</b>: fruchtig, blumig</li></ul>"
5,"For Women, EdP 45 ml",104501,3386460059121,322.0,women,0,https://www.rossmann.de/de/pflege-und-duft-karl-lagerfeld-for-women-edp-45-ml/p/3386460059121,"Mode zum Sprühen: Karl Lagerfeld For Women Eau de Parfum Dieser Duft ist der Inbegriff für Stil und Einzigartigkeit. Bereits seine extravaganten Modekreationen sind weltweit bekannt und angesehen. Nun erobert das elektrisierende Karl Lagerfeld For Women Eau de Parfum die Duftwelt mit seiner zeitlosen Eleganz. Die frische, blumige Kreation eröffnet mit einer Kopfnote aus spritzigen Limetten und zartem Pfirsich. Blühende Rosen, Magnolien und Frangipani in der Herznote sorgen für eine pure Verführung der Sinne. In der sinnlichen Basisnote treffen Moschus und Amber aufeinander und sorgen für eine meisterhafte Vollendung dieser raffinierten Duftkomposition. Der feminine, kultige Duft verleiht seiner Trägerin Stärke, Ausstrahlung und Selbstsicherheit, die ein unwiderstehliches Verlangen auslösen. ","<ul><li><b>Zielgruppe</b>: für Sie</li><li><b>Kopfnote</b>: Zitrone, Pfirsich</li><li><b>Herznote</b>: Rose, Magnolie</li><li><b>Basisnote</b>: Moschus, Holz, Amber</li><li><b>Duftrichtung</b>: fruchtig, frisch, blumig</li></ul>"
6,"Be Delicious fresh blossom, EdP 30 ml",442251,0022548181089,816.33,women,0,https://www.rossmann.de/de/pflege-und-duft-dkny-be-delicious-fresh-blossom-edp-30-ml/p/0022548181089,"Mit DKNY Be Delicious Fresh Blossom, einem Duft so unschuldig, so frisch, so verspielt, dass er an eine Apfelblüte erinnert.DKNY Be Delicious Fresh Blossom In New York erblüht gerade eine Apfelblüte. Sie hat etwas wunderbar Unwiderstehliches an sich… …ihre sanfte Schönheit, ihr femininer Reiz. Das Gefühl von wieder erwachtem Optimismus, Freude und guter Laune, wenn eine Blume zum Leben erwacht zwischen Pflastersteinen, Beton und Wolkenkratzern. Ein unbeschwerter Moment, den man festhalten und genießen möchte. DKNY feiert die Schönheit der Stadt im Frühling. Mit DKNY Be Delicious Fresh Blossom, einem Duft so unschuldig, so frisch, so verspielt, dass er an eine Apfelblüte erinnert. Die Apfelblüte...dem Symbol für Liebe, Jugend, Schönheit und Glück, die Ihre Sinne verführt und Ihr Herz berührt. Atmen Sie seine Ausstrahlung ein, fühlen Sie seine Energie. Sie werden diesem Duft nicht widerstehen können… ",<ul><li>Duftnote: blumig</li></ul>
7,"Lou Lou, EdP 30 ml",919913,3360373000074,733.0,women,0,https://www.rossmann.de/de/pflege-und-duft-cacharel-lou-lou-edp-30-ml/p/3360373000074,"Mit dem Eau de Parfum Lou Lou von Cacharel kehrt die kindliche Unbeschwertheit und weibliche Sinnlichkeit zurück. Der verführerische Damenduft lässt die Frauen leben und lieben. Das Dufterlebnis verspricht die Unbeschwertheit eines Kindes und die Sinnlichkeit einer Verführerin und wird zu einer schmeichelnden Liebkosung aus Ylang-Ylang und Tiaré-Blüte. Das Eau de Parfum wird durch die Frische der Orangenblütenessenzen abgerundet. Die blumige Duftnote verströmt einen geheimnisvollen, pudrigen Nebel von Moschus und Helitrop. Sie wird auf sanfte Weise abgelöst durch die sinnlich-erotische Komposition aus Tonka, Weihrauch und Sandelholz. Der Flakon selbst erscheint wie ein geschliffener fünfeckiges Juwel. Sein sanftes Blau wird nur durch einen schmalen rubinroten Ring unterbrochen. Das Lou Lou Eau de Parfum ist ein ausdrucksstarker, floral-orientalischer Damenduft und regt mit seiner Intensität all Ihre Sinne an. ",<ul><li><b>Zielgruppe</b>: Für Sie</li><li><b>Kopfnote</b>: Anis</li><li><b>Herznote</b>: Heiliotrop</li><li><b>Basisnote</b>: Harz</li><li><b>Duftfamilie</b>: blumig</li></ul>
8,"Noa, EdT, 30 ml",924450,3360373016334,733.0,women,0,https://www.rossmann.de/de/pflege-und-duft-cacharel-noa-edt-30-ml/p/3360373016334,"Noa Eau de Toilette von Cacharel - ein edler Hauch innerer Ruhe, der für die moderne Frau und das neue Jahrtausend steht. Voller Zuversicht, zärtlicher Weiblichkeit und innerer Harmonie wird in die Zukunft geblickt. Der blumige Damenduft versprüht im Auftakt eine natürliche, spontane, spritzig-grüne Frische und feinwürzigen Koriander, während im feminin-floralen Herzen ein Bouquet weißer Pfingstrosen erblüht. Der Fond strahlt mit der Transparenz des weißen Moschus und der tiefen Wärme von Kaffee und Weihrauch. Der Zerstäuber ermöglicht ein besonders feines Auftragen des Duftes, dessen Klarheit von seiner Präsentation untermalt wird: eine sanfte Kugel, in der das Licht eine kostbare Perle durchschimmern lässt. Wie ein Symbol für das Wertvolle und Geheimnisvolle dieser Welt. Das Noa Eau de Toilette von Cacharel ist ein harmonischer Duft für jede Frau. Zielgruppe : Für Sie Kopfnote : Moschus Herznote : Seegras Basisnote : Kaffee Duftfamilie : blumig ",
9,"Amor Amor, EdT 30 ml",936972,3360373063697,733.0,women,0,https://www.rossmann.de/de/pflege-und-duft-cacharel-amor-amor-edt-30-ml/p/3360373063697,"Amor Amor von Cacharel ist ein üppiger, fruchtig-blumiger Damenduft, der seine magische Anziehungskraft schon in den ersten Sekunden entfaltet. Unwiderstehlich verführerisch und harmonisch betörend wird die Trägerin dezent vom blumigen Duft umhüllt. Langanhaltend und sehr frisch trotz vorherrschender Süße berührt Amor Amor das Herz mit seiner sommerlichen Duftnote. Der leidenschaftliche Flakon des Eau de Toilettes bezaubert und lässt die Liebe in einer neuen Dimension entfachen. Mit einem kräftigen Rot repräsentiert er die Farbe der Liebe, die bei diesem Duft für Wärme sorgt und Sinnlichkeit versprüht. Jetzt oder nie! Die Liebe duldet keinen Verzug! ",<ul><li><b>Zielgruppe</b>: Für Sie</li><li><b>Kopfnote</b>: Bergamotte</li><li><b>Herznote</b>: Aprikose</li><li><b>Basisnote</b>: Amber</li><li><b>Duftfamilie</b>: blumig</li></ul>
